Reference Angle [degree],Measured Angle [degree]
258.047,0.703125
260.156,2.10938
262.266,3.51563
263.672,5.625
265.781,7.73438
267.891,9.84375
268.594,11.25
271.406,12.6563
272.813,14.7656
274.922,16.1719
276.328,18.2813
278.438,19.6875
280.547,21.0938
281.953,23.2031
284.063,24.6094
285.469,26.0156
287.578,28.125
288.984,30.2344
291.094,31.6406
293.203,33.0469
294.609,34.4531
296.719,35.8594
298.125,37.9688
300.234,39.375
302.344,40.7813
303.75,42.8906
305.859,45
307.266,46.4063
309.375,47.8125
310.781,49.2188
312.891,50.625
314.297,52.7344
316.406,54.8438
317.813,56.25
319.922,58.3594
321.328,59.0625
322.031,61.875
324.844,63.2813
326.953,65.3906
328.359,67.5
330.469,69.6094
331.875,71.7188
333.984,73.8281
335.391,75.9375
336.797,78.0469
338.906,80.1563
341.016,81.5625
342.422,84.375
344.531,86.4844
345.938,89.2969
348.047,91.4063
349.453,92.8125
351.563,96.3281
352.969,97.7344
355.078,99.8438
0.703125,108.281
2.10938,108.984
4.21875,111.094
5.625,111.797
355.781,102.656
358.594,104.766
7.03125,113.906
8.4375,116.719
11.25,119.531
11.9531,120.234
14.7656,121.641
16.875,124.453
18.2813,125.859
20.3906,127.969
22.5,129.375
23.9063,130.781
25.3125,132.891
27.4219,134.297
29.5313,135.703
31.6406,137.109
33.0469,139.219
35.1563,140.625
36.5625,142.734
37.9688,144.141
40.0781,145.547
42.1875,146.953
43.5938,149.063
45.7031,150.469
47.1094,151.875
49.2188,153.984
51.3281,155.391
52.7344,156.797
53.4375,158.906
56.25,160.313
58.3594,161.719
59.7656,163.125
61.875,165.938
63.2813,166.641
65.3906,168.75
66.7969,170.156
68.9063,172.266
71.0156,174.375
72.4219,175.781
73.8281,177.891
75.9375,179.297
78.0469,181.406
79.4531,182.813
81.5625,184.922
82.9688,186.328
85.0781,188.438
87.1875,189.844
88.5938,191.953
90,193.359
92.1094,194.766
94.2188,196.875
94.9219,198.984
97.7344,201.094
99.8438,201.797
101.25,203.906
102.656,205.313
104.766,206.719
106.875,208.828
108.984,210.234
110.391,210.938
112.5,212.344
113.906,214.453
115.313,216.563
118.125,217.969
119.531,219.375
121.641,220.781
123.047,222.188
125.156,223.594
126.563,225.703
128.672,227.109
130.078,228.516
132.188,229.922
133.594,231.328
135.703,233.438
137.109,235.547
139.219,237.656
140.625,239.063
142.734,240.469
144.141,242.578
146.25,244.688
147.656,246.797
149.766,248.203
151.172,249.609
153.281,251.719
155.391,253.828
156.797,256.641
158.906,258.75
160.313,260.859
162.422,262.969
163.828,265.078
165.938,267.188
167.344,269.297
169.453,272.109
170.859,274.219
172.969,276.328
173.672,278.438
175.781,280.547
177.891,282.656
180,284.766
182.109,286.875
183.516,288.984
185.625,290.391
187.734,293.203
189.141,294.609
191.25,296.719
192.656,298.125
194.766,300.234
196.172,303.047
198.281,304.453
200.391,306.563
201.797,307.969
203.906,309.375
205.313,311.484
207.422,312.891
208.828,314.297
210.938,315.703
212.344,317.813
213.75,319.219
215.859,321.328
217.969,322.734
220.078,324.844
222.188,326.25
223.594,327.656
225.703,329.063
227.813,331.172
229.219,332.578
229.922,334.688
232.734,336.094
234.844,337.5
236.25,339.609
238.359,341.016
240.469,343.125
241.875,344.531
243.984,345.938
244.688,347.344
247.5,349.453
249.609,351.563
251.016,352.969
253.125,355.078
253.828,356.484
256.641,358.594
